#File Name	Jsc (mA/cm2)	Voc (V)	Fill Factor	Pmax (mW/cm2)	Vmpp	Rseries (Ohms)	Rshunt (Ohms)	device area
P3HT_PCBM_light__1.dat	-10.31	0.52	0.54	-2.93	0.37	2.58	457.00	0.10
P3HT_PCBM_light__2.dat	-10.12	0.53	0.57	-3.04	0.38	2.28	545.00	0.10
P3HT_PCBM_light__3.dat	-10.28	0.47	0.40	-1.92	0.31	2.12	88.60	0.10
P3HT_PCBM_light__4.dat	-11.29	0.52	0.57	-3.37	0.38	2.00	492.00	0.10
P3HT_PCBM_light__5.dat	-11.17	0.52	0.57	-3.34	0.38	2.15	498.00	0.10
P3HT_PCBM_light__6.dat	-11.24	0.42	0.33	-1.59	0.25	2.36	54.90	0.10
KP115-IDTBR_light__1.dat	-6.59	0.95	0.47	-2.97	0.68	72.08	574.00	0.10
KP115-IDTBR_light__2.dat	-6.63	0.96	0.48	-3.02	0.69	72.62	605.00	0.10
KP115-IDTBR_light__3.dat	-6.77	0.96	0.48	-3.14	0.69	71.46	1590.00	0.10
KP115-IDTBR_light__4.dat	-6.46	0.96	0.48	-2.97	0.69	73.56	652.00	0.10
KP115-IDTBR_light__5.dat	-6.29	0.95	0.48	-2.87	0.68	73.25	635.00	0.10
KP115-IDTBR_light__6.dat	-6.37	0.95	0.47	-2.88	0.69	73.54	578.00	0.10
KP115-IDTBR_filtered_P3HT_light__1.dat	-2.99	0.92	0.47	-1.28	0.65	125.92	3070.00	0.10
KP115-IDTBR_filtered_P3HT_light__2.dat	-2.20	0.90	0.47	-0.94	0.64	143.82	1680.00	0.10
KP115-IDTBR_filtered_P3HT_light__3.dat	-2.24	0.91	0.48	-0.97	0.65	147.44	4650.00	0.10
KP115-IDTBR_filtered_P3HT_light__4.dat	-2.14	0.91	0.47	-0.92	0.64	154.26	1740.00	0.10
KP115-IDTBR_filtered_P3HT_light__5.dat	-2.11	0.90	0.48	-0.91	0.64	148.35	1730.00	0.10
KP115-IDTBR_filtered_P3HT_light__6.dat	-2.82	0.92	0.47	-1.23	0.66	131.98	1260.00	0.10
P3HT-PCBM_filtered_KP115_light__1.dat	-3.08	0.44	0.43	-0.58	0.30	1.95	313.00	0.10
P3HT-PCBM_filtered_KP115_light__2.dat	0.00	-0.80	-2.87	0.00	0.92	595835208.11	69700000.00	0.10
P3HT-PCBM_filtered_KP115_light__3.dat	-3.17	0.30	0.27	-0.26	0.16	1.90	103.00	0.10
P3HT-PCBM_filtered_KP115_light__4.dat	-3.77	0.48	0.61	-1.10	0.36	1.63	1300.00	0.10
P3HT-PCBM_filtered_KP115_light__5.dat	-3.54	0.48	0.61	-1.03	0.36	1.69	1370.00	0.10
P3HT-PCBM_filtered_KP115_light__6.dat	-3.43	0.20	0.26	-0.18	0.10	1.76	58.10	0.10
