# Lambda(nm)	EQE (%)
300	0
305	0
310	0
315	0
320	0
325	0
330	5
335	6.21
340	6.93
345	7.95
350	8.53
355	8.79
360	9.12
365	9.51
370	10.18
375	11.03
380	12.4
385	13.07
390	13.29
395	13.59
400	13.98
405	14.16
410	14.43
415	14.52
420	14.62
425	14.72
430	14.71
435	14.66
440	14.46
445	14.12
450	13.62
455	13.16
460	12.69
465	12.46
470	12.57
475	12.87
480	13.27
485	13.73
490	14.14
495	14.66
500	15.29
505	16.03
510	16.83
515	17.81
520	18.69
525	19.63
530	20.64
535	21.57
540	22.45
545	23.26
550	23.84
555	24.39
560	24.73
565	25.05
570	25.24
575	25.4
580	25.41
585	25.47
590	25.55
595	25.48
600	25.43
605	25.22
610	25.16
615	24.99
620	24.8
625	24.78
630	24.63
635	24.52
640	24.37
645	24.23
650	24.18
655	23.96
660	23.64
665	23.24
670	22.68
675	22.1
680	21.46
685	20.93
690	20.41
695	20.1
700	19.81
705	19.71
710	19.66
715	19.54
720	19.58
725	19.38
730	19.06
735	18.51
740	18.16
745	17.57
750	16.78
755	15.69
760	14.37
765	12.64
770	11.27
775	9.87
780	7.98
785	6.22
790	4.8
795	3.46
800	2.5
805	0
810	0
815	0
820	0
825	0
830	0
835	0
840	0
845	0
850	0
855	0
860	0
865	0
870	0
875	0
880	0
885	0
890	0
895	0
900	0
905	0
910	0
915	0
920	0
925	0
930	0
935	0
940	0
945	0
950	0
955	0
960	0
965	0
970	0
975	0
980	0
985	0
990	0
995	0
1000	0
1005	0
1010	0
1015	0
1020	0
1025	0
1030	0
1035	0
1040	0
1045	0
1050	0
1055	0
1060	0
1065	0
1070	0
1075	0
1080	0
1085	0
1090	0
1095	0
1100	0
