# Lambda(nm)	EQE (%)
300	0
305	0
310	0
315	0
320	0
325	4.01
330	5.82
335	8.4
340	15.4
345	17.79
350	20.58
355	21.88
360	24.28
365	26.78
370	28.51
375	29.88
380	33.74
385	35.73
390	37.19
395	37.79
400	38.33
405	38.78
410	40.18
415	41.77
420	43.45
425	44.84
430	45.71
435	46.4
440	47.05
445	47.77
450	48.73
455	49.82
460	50.85
465	52.04
470	53.01
475	53.8
480	54.74
485	55.35
490	55.27
495	55.75
500	56.43
505	57
510	57.6
515	58.09
520	58.48
525	58.68
530	59.2
535	59.28
540	59.48
545	59.75
550	59.93
555	60.27
560	60.12
565	59.76
570	59.2
575	58.83
580	57.98
585	57.45
590	57.14
595	56.67
600	56.57
605	56.25
610	55.75
615	54.72
620	52.98
625	50.35
630	45.95
635	39.85
640	32.46
645	25.27
650	19.03
655	14.06
660	10.07
665	7.7
670	4.76
675	0
680	0
685	0
690	0
695	0
700	1.25
705	1.48
710	0
715	0
720	0
725	0
730	0
735	0
740	0
745	0
750	0
755	0
760	0
765	0
770	0
775	0
780	0
785	0
790	0
795	0
800	0
805	0
810	0
815	0
820	0
825	0
830	0
835	0
840	0
845	0
850	0
855	0
860	0
865	0
870	0
875	0
880	0
885	0
890	0
895	0
900	0
905	0
910	0
915	0
920	0
925	0
930	0
935	0
940	0
945	0
950	0
955	0
960	0
965	0
970	0
975	0
980	0
985	0
990	0
995	0
1000	0
1005	0
1010	0
1015	0
1020	0
1025	0
1030	0
1035	0
1040	0
1045	0
1050	0
1055	0
1060	0
1065	0
1070	0
1075	0
1080	0
1085	0
1090	0
1095	0
1100	0
