# voltage   KP115-IDTBR_filtered_P3HT_light__3.dat	KP115-IDTBR_light__3.dat
-1.00E+00	-2.55E+00
-9.50E-01	-2.54E+00
-9.00E-01	-2.53E+00
-8.50E-01	-2.52E+00
-8.00E-01	-2.51E+00
-7.50E-01	-2.50E+00
-7.00E-01	-2.49E+00
-6.50E-01	-2.48E+00
-6.00E-01	-2.47E+00
-5.50E-01	-2.46E+00
-5.00E-01	-2.44E+00
-4.50E-01	-2.42E+00
-4.00E-01	-2.41E+00
-3.50E-01	-2.39E+00
-3.00E-01	-2.37E+00
-2.50E-01	-2.36E+00
-2.00E-01	-2.34E+00
-1.50E-01	-2.32E+00
-1.00E-01	-2.29E+00
-5.00E-02	-2.27E+00
-1.00E-06	-2.24E+00
5.00E-02	-2.21E+00
1.00E-01	-2.18E+00
1.50E-01	-2.14E+00
2.00E-01	-2.11E+00
2.50E-01	-2.06E+00
3.00E-01	-2.02E+00
3.50E-01	-1.97E+00
4.00E-01	-1.91E+00
4.50E-01	-1.84E+00
5.00E-01	-1.77E+00
5.50E-01	-1.69E+00
6.00E-01	-1.60E+00
6.50E-01	-1.49E+00
7.00E-01	-1.36E+00
7.50E-01	-1.18E+00
8.00E-01	-9.38E-01
8.50E-01	-5.84E-01
9.00E-01	-8.56E-02
9.50E-01	6.26E-01
1.00E+00	1.72E+00
